cohort,model,profile,task,mode,attempted,passed,artifactsPassed,modelErrorRuns,meanElapsedSeconds,meanPreparationSeconds,meanInputTokens,meanCacheReadTokens,meanCacheWriteTokens,meanOutputTokens,meanEstimatedCostUsd,auditedTotalCostUsd,providers,meanResponses,meanSchemaBytesPerRequest,meanSampledPeakWorkingSetMiB,pauses,timeouts
A,qwen/qwen3-coder-next,rich,inventory-repair,native,2,2,2,0,44.173343200000005,8.485991649999997,20666,33456,0,1691.5,0.00617504,0.01235008,Parasail,11.5,7852,275.21875,0,0
A,qwen/qwen3-coder-next,rich,inventory-repair,resident,2,2,2,0,44.79900569999998,0.041933800000013434,17814,47056,0,1893.5,0.0069464,0.0138928,Parasail,15,5625,264.826171875,0,0
A,qwen/qwen3-coder-next,rich,inventory-repair,streaming,2,1,2,1,52.45871845000002,7.622352849999981,18328,39984,0,1830.5,0.0064626399999999995,0.012925279999999999,Parasail,14.5,5625,232.474609375,0,0
A,qwen/qwen3-coder-next,rich,url-policy,native,2,2,2,0,27.962476599999995,7.44901184999998,11449.5,18768,0,994.5,0.0034833,0.0069666,Parasail,7.5,7852,279.630859375,0,0
A,qwen/qwen3-coder-next,rich,url-policy,resident,2,2,2,0,36.229489950000016,0.06921264999998675,29706.5,29376,0,1171,0.0065579,0.013115800000000004,Parasail,14,6437.256684491978,274.306640625,0,0
A,qwen/qwen3-coder-next,rich,url-policy,streaming,2,2,2,0,48.580372749999995,8.62093445,24736,44880,0,1516,0.00732272,0.01464544,Parasail,15.5,6629.358333333334,414.380859375,0,0
B,google/gemini-2.5-flash,rich,inventory-repair,native,1,1,1,0,33.3076048,9.085900699999998,24103,8476,0,1217,0.01052768,0.01052768,Google,13,7852,242.25,0,0
B,google/gemini-2.5-flash,rich,inventory-repair,resident,1,1,1,0,20.913174999999995,0.045074700000004665,15299,13622,0,1326,0.008313359999999999,0.008313359999999999,Google,12,5625,301.4453125,0,0
B,google/gemini-2.5-flash,rich,inventory-repair,streaming,1,1,1,0,19.8110248,6.998012199999997,24195,8277,0,876,0.00969681,0.00969681,Google,14,5625,255.08203125,0,0
B,google/gemini-2.5-flash,rich,url-policy,native,1,0,0,0,12.177510099999985,6.896650099999999,11250,1423,0,499,0.00466519,0.00466519,Google,6,7852,294.49609375,0,0
B,google/gemini-2.5-flash,rich,url-policy,resident,1,0,0,1,16.780964299999994,0.027868199999997158,7789,5687,0,382,0.0034623099999999997,0.00346231,Google,7,6804.285714285715,275.6640625,0,0
B,google/gemini-2.5-flash,rich,url-policy,streaming,1,1,1,0,19.96797129999999,8.703045400000002,20631,0,0,659,0.007836800000000001,0.007836800000000001,Google,9,6542.222222222223,407.5703125,0,0
C,qwen/qwen3-coder-next,intermediate,inventory-repair,native,1,1,1,0,43.8475495,0.012774899999999433,12854,60384,0,1682,0.00711496,0.007114959999999999,Parasail,17,6290,237.5,0,0
C,qwen/qwen3-coder-next,intermediate,inventory-repair,resident,1,1,1,0,35.48872599999999,0.009897100000001956,14223,33184,0,1185,0.00497764,0.004977639999999999,Parasail,13,4594,270.49609375,0,0
C,qwen/qwen3-coder-next,intermediate,inventory-repair,streaming,1,1,1,0,38.0324102,3.4233392999999923,20256,36448,0,1372,0.0060796800000000005,0.0060796800000000005,Parasail,14,4594,250.46875,0,0
C,qwen/qwen3-coder-next,intermediate,url-policy,native,1,1,1,0,31.280353999999992,0.012306699999986449,14716,33184,0,913,0.004819199999999999,0.004819199999999999,Parasail,12,6290,258.3671875,0,0
C,qwen/qwen3-coder-next,intermediate,url-policy,resident,1,1,1,0,40.501345400000005,0.008536600000006729,18220,20128,0,1327,0.00465696,0.00465696,Parasail,11,5344.454545454545,257.07421875,0,0
C,qwen/qwen3-coder-next,intermediate,url-policy,streaming,1,1,1,0,44.88463029999999,3.6552151000000013,20354,44608,0,1694,0.006920240000000001,0.006920240000000001,Parasail,16,5316.3125,400.40234375,0,0
